ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-01-01,13281,2363,10834,207,199,3907,497,1620,729,1853,98,32,344,22,709,305,960,29,16,9,0,3253,847,2613,932,336,204,15
2015-01-02,10676,2028,8654,125,84,3718,123,2873,976,2734,59,23,1029,4,463,343,681,37,41,35,12,1972,732,1605,551,195,191,162
2015-01-03,10429,3136,11431,142,46,1652,294,1928,1293,2755,63,54,341,8,642,537,1104,40,19,4,12,2676,1317,2646,749,227,222,149
2015-01-04,8939,2279,8472,378,113,2013,242,1958,1149,2735,127,22,188,35,889,520,1336,45,16,10,2,2347,832,2237,460,219,90,173
2015-01-05,6052,1580,5372,209,127,1805,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,0,0,0,0,0,0,0,1159,689,1614,30,15,153,36,618,400,928,37,19,27,7,2175,785,1511,438,313,230,468
2015-01-07,6566,1390,3682,49,57,3940,228,659,644,1106,37,14,140,6,197,196,347,28,8,10,0,868,461,903,158,70,40,158
2015-01-08,5347,1281,4824,76,17,1711,0,838,657,1194,38,27,208,28,221,281,462,35,3,0,2,992,558,1096,232,78,49,95
2015-01-09,5467,1507,3770,173,53,2897,81,744,726,1396,29,10,35,0,386,374,671,46,9,14,20,1366,587,1318,210,79,150,196
2015-01-10,8763,2885,8881,313,23,2350,81,1898,1516,3149,46,8,191,20,697,598,1265,19,6,3,2,2305,1183,2653,309,135,117,274
2015-01-11,9705,2815,9795,312,219,2100,94,1389,1094,2186,59,33,189,16,808,516,1259,38,19,3,5,2419,1039,2557,525,112,114,150
2015-01-12,6717,1136,4689,181,181,2738,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,0,0,0,0,0,0,0,1117,885,1680,22,55,245,0,409,508,873,26,9,0,9,2151,824,1673,330,197,476,299
