날짜,이산화질소농도,오존농도,이산화탄소농도,아황산가스,미세먼지,초미세먼지,평균기온,최고기온,일강수량,최대풍속,평균풍속,최소상대습도,평균상대습도,가조시간,합계일조시간,1시간최다일사량,합계일사량,일최심적설,평균전운량,99강수,안개계속시간,미세먼지_기준,초미세먼지_기준,강수여부,적설여부,안개여부,휴일여부,따릉이
2019-01-01,0.033,0.016,0.5,0.003,42,27,-5,-0.6,0,4.3,2.1,34,49.5,9.6,7.5,1.42,7.84,0,3.4,0,0,2,2,0,0,0,1,8601
2019-01-02,0.043,0.01,0.6,0.004,36,24,-4.9,0.2,0,3.6,1.7,20,42.8,9.6,8.7,1.81,10.48,0,0,0,0,2,2,0,0,0,0,14360
2019-01-03,0.049,0.008,0.6,0.004,33,22,-3.5,3.2,0,2.9,1.4,18,38.8,9.7,8.7,1.79,10.28,0,0.1,0,0,2,2,0,0,0,0,16344
2019-01-04,0.065,0.005,1,0.005,55,42,-1.1,4.1,0,3,1.2,34,55.5,9.7,3.9,1.27,6.2,0,5.5,0,0,2,3,0,0,0,0,17308
2019-01-05,0.034,0.017,0.6,0.004,60,41,-2.8,1.1,0,4.3,2.2,20,40.3,9.7,8.6,1.78,10.05,0,0.5,0,0,2,3,0,0,0,1,12380
2019-01-06,0.045,0.009,0.6,0.004,49,26,-2.8,2.7,0,3.2,1.2,19,35,9.7,7.7,1.79,9.64,0,3.1,0,0,2,2,0,0,0,1,11094
2019-01-07,0.058,0.008,0.9,0.005,56,40,-1.9,3.1,0,4.7,1.4,28,46.4,9.7,7,1.59,8.71,0,4,0,0,2,3,0,0,0,0,16795
2019-01-08,0.029,0.019,0.5,0.004,42,23,-3.5,0.5,0,6.5,2.6,20,31,9.7,8.7,1.82,10.46,0,0,0,0,2,2,0,0,0,0,15833
2019-01-09,0.044,0.008,0.6,0.005,51,25,-4.7,1.3,0,3.5,1.3,17,28.8,9.7,7.4,1.3,8.47,0,4.9,0,0,2,2,0,0,0,0,15819
2019-01-10,0.049,0.006,0.6,0.004,50,32,-0.6,3,0,3.8,1.3,27,48.8,9.8,3.1,1.47,5.92,0,8.1,0,0,2,2,0,0,0,0,17894
2019-01-11,0.063,0.005,0.9,0.005,86,65,2.4,7.2,0,2.6,1,39,58.8,9.8,6.9,1.64,8.53,0,6.1,0,0,3,3,0,0,0,0,19271
2019-01-12,0.066,0.009,1,0.005,97,75,2.8,8,0,3.5,1.3,32,47.6,9.8,6,1.41,7.71,0,3.9,0,0,3,4,0,0,0,1,14519
2019-01-13,0.058,0.013,1.1,0.005,121,93,1.2,7.6,0,3.2,1.4,21,54.3,9.8,8.6,1.72,9.97,0,0,0,0,3,4,0,0,0,1,11751
2019-01-14,0.071,0.006,1.3,0.005,169,137,1.4,5.3,0,2.5,0.9,50,68.6,9.8,0.4,1.08,6.03,0,4.5,0,0,4,4,0,0,0,0,14818
2019-01-15,0.034,0.02,0.8,0.004,132,89,-1.7,2.6,0,6.1,2.7,30,58.8,9.9,4.7,1.32,6.93,0,3.8,0,0,3,4,0,0,0,0,14761
2019-01-16,0.029,0.016,0.4,0.004,45,19,-5.2,-1.1,0,4.3,2.3,17,45.9,9.9,8.6,1.87,10.36,0,4.1,0,0,2,2,0,0,0,0,15823
2019-01-17,0.042,0.012,0.6,0.004,44,25,-0.3,4,0,5,1.7,19,45.8,9.9,8.7,1.91,11.07,0,1.8,0,0,2,2,0,0,0,0,17960
2019-01-18,0.056,0.009,0.8,0.005,60,40,0.6,6.7,0,4.5,1.3,21,44,9.9,8.5,1.79,10.4,0,3,0,0,2,3,0,0,0,0,18901
2019-01-19,0.059,0.01,0.9,0.005,89,66,3.6,8.5,0,3,1.2,44,59.8,9.9,2.9,1.27,6.27,0,7.8,0,0,3,3,0,0,0,1,14883
2019-01-20,0.021,0.026,0.5,0.004,64,37,-1.4,4,0,5.5,3.2,19,38.5,10,8.8,1.94,11.56,0,1.1,0,0,2,3,0,0,0,1,11191
2019-01-21,0.039,0.014,0.5,0.004,40,20,-1.2,4.2,0,4.3,1.6,40,57.8,10,1,0.52,3.07,0,4.1,0,0,2,2,0,0,0,0,17240
2019-01-22,0.048,0.015,0.8,0.004,61,32,1.7,7.1,0,4.4,1.7,42,62,10,8.5,1.72,9.85,0,1.1,0,0,2,2,0,0,0,0,19885
2019-01-23,0.042,0.017,0.7,0.004,74,46,2,7,0,5.1,2.3,17,48.9,10,8.6,1.86,10.85,0,0.9,0,0,2,3,0,0,0,0,19163
2019-01-24,0.046,0.011,0.6,0.004,40,21,0.1,6.5,0,3.5,1.7,11,34.9,10.1,8.8,1.96,11.71,0,2.1,0,0,2,2,0,0,0,0,20057
2019-01-25,0.035,0.018,0.5,0.004,47,22,-1.2,2.6,0,5.5,2.6,18,27.6,10.1,8.7,1.94,11.56,0,1.3,0,0,2,2,0,0,0,0,18159
2019-01-26,0.024,0.023,0.4,0.004,44,23,-2.5,2.4,0,4.4,2.4,20,30.9,10.1,8.8,2.03,12.29,0,0,0,0,2,2,0,0,0,1,13203
2019-01-27,0.032,0.02,0.5,0.004,31,18,-0.1,5.1,0,3.7,1.7,28,52.5,10.2,6.7,1.93,10.31,0,4.3,0,0,2,2,0,0,0,1,12440
2019-01-28,0.024,0.025,0.4,0.004,77,25,1.2,4.5,0,6.8,3.1,17,40.4,10.2,8.7,1.98,11.76,0,1.3,0,0,2,2,0,0,0,0,17317
2019-01-29,0.049,0.009,0.6,0.004,63,23,-0.2,7,0,3.7,1.5,18,35.5,10.2,8.7,2,11.87,0,2.1,0,0,2,2,0,0,0,0,19477
2019-01-30,0.059,0.008,0.7,0.005,57,32,1.8,6.6,0,3.8,1.5,39,54.6,10.3,7.7,1.54,9.13,0,6.9,0,0,2,2,0,0,0,0,20677
2019-01-31,0.028,0.017,0.4,0.004,67,22,-2,2.3,0,4.7,2.9,18,29,10.3,3.4,1.38,5.97,0,7,0,0,2,2,0,0,0,0,17649
2019-02-01,0.035,0.015,0.5,0.003,36,18,-2.1,2.8,0.3,4.9,1.7,27,47.6,10.3,5.7,2.04,9.71,0.2,3,0.3,0,2,2,1,1,0,0,17696
2019-02-02,0.047,0.011,0.6,0.003,59,35,1.4,6.1,0,1.8,1,46,60,10.3,1.6,0.83,4.48,0.2,7.5,9,0,2,3,0,0,0,1,13742
2019-02-03,0.035,0.017,0.7,0.003,40,31,3.3,4.9,16,4,1.7,53,92.9,10.4,0,0.1,0.54,0,9.3,7,1.08,2,2,1,0,1,1,2010
2019-02-04,0.023,0.025,0.5,0.003,74,39,-0.6,3,0,4.9,2.1,17,40.4,10.4,8.6,2.16,12.74,0,2.4,0,0,2,3,0,0,0,1,8562
2019-02-05,0.046,0.014,0.6,0.004,87,29,2.8,10.1,0,2.9,1,17,37.1,10.5,7.8,2.05,11.81,0,3.9,0,0,3,2,0,0,0,1,9119
2019-02-06,0.048,0.017,0.7,0.004,98,37,5.1,9.3,0,3.1,1.3,34,54.9,10.5,3.3,1.49,6.87,0,8.1,0.5,0,3,3,0,0,0,1,13694
2019-02-07,0.018,0.028,0.4,0.003,65,35,-2.1,6.3,0.5,5.5,3.5,18,45.5,10.5,8.7,2.21,13.09,0,4.3,0,0,2,3,1,0,0,0,14533
2019-02-08,0.032,0.015,0.4,0.003,37,21,-6.1,-1.3,0,4.7,2.3,18,31.5,10.6,8.4,1.97,12.08,0,6.1,0,0,2,2,0,0,0,0,14782
2019-02-09,0.02,0.025,0.4,0.003,41,22,-5.4,-1.9,0,4.9,2.7,20,30,10.6,9.3,2.24,13.27,0,4.4,0,0,2,2,0,0,0,1,11760
2019-02-10,0.033,0.016,0.5,0.004,46,28,-5,-1.9,0,3.6,1.7,22,31.3,10.6,2.2,1.57,7.83,0,7.5,0,0,2,2,0,0,0,1,9759
2019-02-11,0.029,0.023,0.5,0.004,41,29,-3,2,0,4.9,2.3,19,34.9,10.7,9.4,2.32,14.53,0,0.4,0,0,2,2,0,0,0,0,16881
2019-02-12,0.036,0.022,0.7,0.004,62,46,-0.6,3.7,0,4.3,1.9,22,35.5,10.7,8.5,1.97,12.34,0,5.6,0,0,2,3,0,0,0,0,18862
2019-02-13,0.031,0.022,0.5,0.004,43,26,-2.1,2.5,0,5.1,2.4,15,26.6,10.7,9.2,2.26,14.15,0,1.8,0,0,2,2,0,0,0,0,18411
2019-02-14,0.052,0.009,0.6,0.005,57,34,-0.5,6.3,0,3.2,1.4,16,24.3,10.8,9.2,2.34,14.39,0,5.3,1.4,0,2,2,0,0,0,0,19376
2019-02-15,0.038,0.019,0.5,0.004,41,32,-0.8,0.9,2.2,4,1.9,30,72.8,10.8,0,0.78,3.57,2.4,9.1,1,0,2,2,1,1,0,0,9213
2019-02-16,0.024,0.031,0.7,0.004,64,54,-2.7,1.5,0.2,4.6,2.6,38,59,10.9,8.8,2.25,13.19,0.7,2.4,0,0,2,3,1,1,0,1,12641
2019-02-17,0.029,0.025,0.5,0.004,37,27,-1.8,4.6,0,4.2,1.9,23,47.4,10.9,9.8,2.44,16.08,0,0.1,0,0,2,2,0,0,0,1,13390
2019-02-18,0.057,0.006,0.7,0.004,42,27,0.9,5.9,0,2.8,1.3,27,43.5,10.9,5.6,2,10.19,0,7.4,1.4,0,2,2,0,0,0,0,19916
2019-02-19,0.05,0.008,0.6,0.003,45,36,1.4,3,4.6,3.9,1.4,36,80.8,11,0.6,0.85,3.43,3.3,9.4,3.2,0,2,3,1,1,0,0,11689
2019-02-20,0.035,0.024,0.6,0.003,64,55,1.7,4.5,0,4.1,2.1,48,67.8,11,2.2,1.32,6.26,0.4,6.5,0,0,2,3,0,0,0,0,19572
2019-02-21,0.05,0.016,0.8,0.004,76,65,2.4,9,0,3.4,1.5,32,59.4,11,9.6,2.28,14.6,0,0,0,0,2,3,0,0,0,0,20995
2019-02-22,0.062,0.012,0.9,0.004,77,62,4,10.8,0,3.7,1.5,28,56.1,11.1,9.5,2.34,15.33,0,5.4,0,0,2,3,0,0,0,0,21727
2019-02-23,0.055,0.015,0.8,0.004,57,44,6.8,14.5,0,2.9,1.1,15,41,11.1,9.1,2.54,16.04,0,2.9,0,0,2,3,0,0,0,1,23742
2019-02-24,0.05,0.027,0.8,0.005,68,57,6.3,13.7,0,4.9,1.8,20,45,11.2,10,2.42,16.07,0,1.6,0,0,2,3,0,0,0,1,21933
2019-02-25,0.039,0.026,0.6,0.004,78,59,4.7,10.2,0,4.8,2.3,26,55.8,11.2,8,2.32,14.21,0,4.8,0,0,2,3,0,0,0,0,23445
2019-02-26,0.046,0.016,0.5,0.004,51,29,5.2,12,0,4.9,1.6,16,32.8,11.2,9.5,2.39,16.25,0,3.6,0,0,2,2,0,0,0,0,28010
2019-02-27,0.059,0.018,0.7,0.006,72,52,7.8,14,0,4.3,1.6,21,31.3,11.3,7.8,2.14,12.84,0,7.5,0,0,2,3,0,0,0,0,28652
2019-02-28,0.06,0.02,0.7,0.005,91,64,6.6,12.8,0,4.7,2,24,39.5,11.3,8.1,2.21,14.07,0,3.3,0,0,3,3,0,0,0,0,27431
2019-03-01,0.047,0.036,0.8,0.005,120,88,6.6,13,0,4.4,2.1,22,42.3,11.3,9.9,2.31,15.38,0,0.3,0,0,3,4,0,0,0,1,21751
2019-03-02,0.068,0.019,1,0.005,129,95,7.8,14.7,0,3.3,1.1,19,37.6,11.4,7.5,2.17,13.57,0,5.8,0,0,3,4,0,0,0,1,22503
2019-03-03,0.053,0.031,0.9,0.004,113,84,9.4,16.1,0,3.3,1.5,15,36.4,11.4,7.9,2.55,15.37,0,4.8,0,0,3,4,0,0,0,1,24382
2019-03-04,0.055,0.032,1,0.005,183,136,9.9,16.3,0,4.7,1.9,19,46.1,11.5,9.2,2.3,14.87,0,2.3,0,0,4,4,0,0,0,0,26887
2019-03-05,0.032,0.042,0.8,0.005,181,135,8.4,12.9,0,3.9,2,40,66.3,11.5,2.5,1.81,9.21,0,8.6,0,0,4,4,0,0,0,0,24042
2019-03-06,0.048,0.031,0.8,0.004,140,102,8.4,12.4,0,4.3,2,43,55,11.5,3,1.61,10.39,0,6.3,0,0,3,4,0,0,0,0,25379
