시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
초등학교,덕의초등학교,서울특별시 구로구 고척로 213,37.50602878,126.8573464,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,동구로초등학교,서울특별시 구로구 구로중앙로14길 43,37.49407207,126.8927814,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,매봉초등학교,서울특별시 구로구 고척로21길 55,37.50491677,126.844375,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,37.50491677,126.844375,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,세곡초등학교,서울특별시 구로구 고척로33길 34,37.50505628,126.8491193,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,일신유치원,서울특별시 구로구 오류로8길 22,37.49120396,126.842017,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,미래초등학교,서울특별시 구로구 새말로 73,37.50510683,126.8880789,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,미래초병설유치원,서울특별시 구로구 새말로 73,37.50510683,126.8880789,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,신미림초등학교,서울특별시 구로구 신도림로 26,37.50714192,126.8795526,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,신미림초병설유치원,서울특별시 구로구 신도림로 26,37.50714192,126.8795526,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
특수학교,정진학교,서울특별시 구로구 부일로9길 158,37.49881413,126.8207513,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,고원초등학교,서울특별시 구로구 경인로46길 13,37.49761248,126.8657986,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,신도유치원,서울특별시 구로구 구일로2길 45,37.4890874,126.8776413,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,구로삼성어린이집,서울특별시 구로구 가마산로 174,37.491254,126.882454,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,구일어린이집,서울특별시 구로구 구일로 62,37.491746,126.874349,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,남산어린이집,서울특별시 구로구 경인로47가길 35,37.50294183,126.864935,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,지암어린이집,서울특별시 구로구 개봉로11길 55-16,37.48722468,126.852844,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,궁동어린이집,서울특별시 구로구 오리로17길 48,37.49684058,126.829017,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,광진선교어린이집,서울특별시 구로구 개봉로3길 87,37.48589964,126.8509714,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,세라핌어린이집,서울특별시 구로구 고척로18길 92,37.497724,126.8450222,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,아람유치원,서울특별시 구로구 고척로25길 62,37.504546,126.846112,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,미림유치원,서울특별시 구로구 개봉로18길 37,37.490828,126.857951,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,혜원유치원,서울특별시 구로구 고척로 62-11,37.49939985,126.842282,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
