ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,279.44876,276.80008,274.67114,269.06647
2022-06-01 00:10,281.57523,276.37643,273.45074,267.3013
2022-06-01 00:20,283.48062,276.74713,273.04303,264.46356
2022-06-01 00:30,285.90494,276.87228,273.38132,261.82635
2022-06-01 00:40,286.83914,277.4846,273.73245,259.13718
2022-06-01 00:50,285.85867,278.14694,273.8496,257.7999
2022-06-01 01:00,284.7037,277.87833,273.52014,257.30182
2022-06-01 01:10,283.86975,277.5278,273.0502,257.69623
2022-06-01 01:20,282.14398,276.97147,272.71448,258.39624
2022-06-01 01:30,280.31393,275.8248,271.74344,259.8577
2022-06-01 01:40,279.02188,274.61496,270.78772,259.86383
2022-06-01 01:50,277.1971,273.2894,269.78943,261.00885
2022-06-01 02:00,275.1164,273.08908,269.76755,262.05978
2022-06-01 02:10,274.34808,272.51523,269.29257,261.7882
2022-06-01 02:20,274.42798,272.64117,269.27084,261.45078
2022-06-01 02:30,275.3061,271.92297,268.45816,261.05075
2022-06-01 02:40,275.81573,271.98938,268.23633,261.1065
2022-06-01 02:50,275.97144,272.26123,268.48248,260.0883
2022-06-01 03:00,276.5256,272.2377,268.436,259.1719
2022-06-01 03:10,277.3071,271.97598,267.8604,258.11328
2022-06-01 03:20,277.5739,271.9582,267.45892,257.3025
2022-06-01 03:30,277.70813,272.10495,267.50632,255.54732
2022-06-01 03:40,276.8986,272.2195,267.83817,254.52051
2022-06-01 03:50,276.339,272.07468,267.70517,253.78838
2022-06-01 04:00,275.63513,271.86975,267.56107,254.03476
2022-06-01 04:10,274.58124,271.54117,267.257,254.25427
2022-06-01 04:20,273.84372,270.57867,266.40927,254.4643
2022-06-01 04:30,273.097,269.38586,265.3141,255.27841
2022-06-01 04:40,272.70364,269.34094,265.32272,256.001
2022-06-01 04:50,272.2119,269.4785,265.5055,256.70502
2022-06-01 05:00,271.7502,269.9477,265.968,256.80453
2022-06-01 05:10,271.55585,269.5603,265.54013,255.64648
2022-06-01 05:20,271.53497,269.56174,265.03036,255.261
2022-06-01 05:30,271.31143,269.60428,264.6643,255.77826
2022-06-01 05:40,271.10925,269.63467,263.7244,255.25723
2022-06-01 05:50,270.91315,269.32935,263.1446,254.94069
2022-06-01 06:00,271.3845,269.1896,262.58145,254.58287
2022-06-01 06:10,271.27554,269.40488,262.33588,254.44102
2022-06-01 06:20,270.56213,269.67825,262.39575,253.82483
2022-06-01 06:30,271.46375,269.85178,262.06192,253.30196
2022-06-01 06:40,272.56613,270.2184,261.90466,252.48293
2022-06-01 06:50,273.17014,270.679,262.13943,252.55066
2022-06-01 07:00,273.85986,270.64716,262.47342,252.44078
2022-06-01 07:10,274.3265,270.64728,262.62396,252.51352
2022-06-01 07:20,275.27762,270.69626,263.1968,252.7255
2022-06-01 07:30,275.0003,270.68494,263.96835,253.73024
2022-06-01 07:40,274.62158,270.7543,264.59186,258.0438
2022-06-01 07:50,274.25046,270.21564,264.4292,262.93964
2022-06-01 08:00,273.81442,269.90067,264.54718,267.06924
2022-06-01 08:10,276.42996,269.78232,265.02365,276.17422
2022-06-01 08:20,276.61783,270.05478,265.44553,285.00586
2022-06-01 08:30,278.02612,271.11252,270.33508,291.77307
2022-06-01 08:40,276.42105,277.68814,282.9929,296.14316
2022-06-01 08:50,275.24118,288.23303,292.69205,300.7844
2022-06-01 09:00,280.30103,293.1218,299.2618,304.4934
2022-06-01 09:10,291.10968,296.20422,303.70593,306.51547
2022-06-01 09:20,303.7887,298.99387,309.7957,309.39377
2022-06-01 09:30,316.12082,304.16013,312.0569,311.83905
2022-06-01 09:40,324.4892,316.90662,314.83292,311.8095
2022-06-01 09:50,333.91843,327.01398,323.35968,311.498
2022-06-01 10:00,340.33276,332.69437,329.14816,308.4852
2022-06-01 10:10,345.69522,337.1223,333.5858,302.60217
2022-06-01 10:20,351.47113,340.37982,334.67184,297.2302
2022-06-01 10:30,354.26535,343.16663,335.02002,295.82373
2022-06-01 10:40,355.7307,344.42795,335.09857,294.49832
2022-06-01 10:50,355.35196,342.4168,332.37936,295.3989
2022-06-01 11:00,352.60873,337.6982,328.12094,298.33463
2022-06-01 11:10,347.44028,333.07117,324.52863,300.1034
2022-06-01 11:20,338.74857,327.46283,321.02246,303.3899
2022-06-01 11:30,330.16882,321.58197,317.159,305.77255
2022-06-01 11:40,323.6116,317.71606,314.33716,302.49777
2022-06-01 11:50,316.98135,315.4077,313.1214,301.8649
2022-06-01 12:00,313.3864,312.97095,311.34683,300.20602
2022-06-01 12:10,311.8407,311.0811,309.11624,299.64105
2022-06-01 12:20,311.20166,306.99863,303.9399,297.04715
2022-06-01 12:30,312.5531,305.5604,301.5143,294.07153
2022-06-01 12:40,311.08575,304.5672,300.38727,290.85403
2022-06-01 12:50,310.0552,304.65387,300.12662,287.88895
2022-06-01 13:00,309.1506,304.38538,299.51303,283.61
2022-06-01 13:10,309.17142,303.70532,297.9138,279.97333
2022-06-01 13:20,307.58365,301.26373,295.73395,278.17575
2022-06-01 13:30,305.86472,299.32114,293.7917,276.22183
2022-06-01 13:40,303.3938,297.0372,291.8039,275.49863
2022-06-01 13:50,301.62036,294.8504,289.88068,275.50922
2022-06-01 14:00,299.10324,292.78934,288.22314,275.09412
2022-06-01 14:10,295.76807,291.233,286.9958,273.32724
2022-06-01 14:20,293.9658,288.89557,285.33102,274.67694
2022-06-01 14:30,291.9453,287.149,283.61545,275.9423
2022-06-01 14:40,290.0853,284.98337,281.5488,276.15317
2022-06-01 14:50,287.41684,284.24838,280.99124,275.3542
2022-06-01 15:00,286.84723,285.60037,282.94882,272.7922
2022-06-01 15:10,287.50635,284.99802,282.45642,271.71774
2022-06-01 15:20,289.63785,285.2252,281.85464,270.75195
2022-06-01 15:30,292.0012,284.86853,280.57297,268.63934
2022-06-01 15:40,290.91824,283.7925,279.23685,267.6789
2022-06-01 15:50,290.5783,283.24374,277.85614,265.7306
2022-06-01 16:00,290.99265,284.19998,278.57806,265.5753
2022-06-01 16:10,287.62885,284.13818,279.24036,263.98935
2022-06-01 16:20,287.2799,284.03616,279.13858,263.17807
2022-06-01 16:30,287.2317,282.79495,278.0201,264.06232
2022-06-01 16:40,286.28714,281.38434,276.43677,263.6059
2022-06-01 16:50,285.05676,280.26416,275.7227,263.2409
2022-06-01 17:00,282.9139,279.21414,275.11737,263.63232
2022-06-01 17:10,281.9881,278.19775,274.08374,264.18857
2022-06-01 17:20,281.38904,277.4895,273.58862,263.4814
2022-06-01 17:30,279.7476,276.7975,272.94287,262.47845
2022-06-01 17:40,279.4973,276.6751,272.76178,261.27737
2022-06-01 17:50,279.5109,276.85,273.09607,260.02704
2022-06-01 18:00,279.42752,276.5746,272.9552,260.81693
2022-06-01 18:10,280.07877,276.25818,272.1305,260.0678
2022-06-01 18:20,281.13867,276.43228,271.3276,258.89368
2022-06-01 18:30,280.8591,276.05023,271.19138,258.94965
2022-06-01 18:40,280.48917,275.73813,270.6749,257.61148
2022-06-01 18:50,279.8266,275.04965,269.63928,257.92267
2022-06-01 19:00,279.0634,274.617,269.3694,256.94818
2022-06-01 19:10,277.82257,273.7526,268.7601,256.8174
2022-06-01 19:20,276.88217,273.6413,269.02066,256.93158
2022-06-01 19:30,276.122,272.8616,268.1122,257.06845
2022-06-01 19:40,275.83777,272.34753,267.48703,257.1282
2022-06-01 19:50,275.31613,272.3625,267.6946,257.06903
2022-06-01 20:00,274.74655,271.30704,266.98123,257.29007
2022-06-01 20:10,274.39108,271.1971,266.96576,257.96204
2022-06-01 20:20,274.77615,271.02045,266.6065,256.99698
2022-06-01 20:30,274.4933,271.07407,266.94528,257.686
2022-06-01 20:40,274.34814,270.6435,266.75348,257.6919
2022-06-01 20:50,273.8694,269.77667,266.60947,267.76376
2022-06-01 21:00,274.245,269.0912,266.20312,269.18253
2022-06-01 21:10,275.02588,269.4688,266.9349,270.11475
2022-06-01 21:20,275.0543,270.43945,271.13208,269.7298
2022-06-01 21:30,274.13986,275.2658,276.34622,269.8794
2022-06-01 21:40,277.3869,279.74005,281.00134,267.17365
2022-06-01 21:50,285.07166,281.89117,281.17844,268.18112
2022-06-01 22:00,294.2096,283.13855,283.5707,267.5963
2022-06-01 22:10,299.27673,284.27927,282.88367,264.84467
2022-06-01 22:20,300.4952,289.66824,283.62057,262.78848
2022-06-01 22:30,302.315,293.4026,286.1147,258.73767
2022-06-01 22:40,303.77365,294.76392,286.94165,256.50916
2022-06-01 22:50,303.13495,294.11447,287.1687,255.94327
2022-06-01 23:00,301.37872,291.7716,284.50864,257.97873
2022-06-01 23:10,298.26367,287.93033,279.7228,262.52496
2022-06-01 23:20,294.13834,284.9045,278.11746,265.914
2022-06-01 23:30,287.89743,282.63437,278.376,268.97314
2022-06-01 23:40,282.51398,280.9063,277.48898,272.24893
2022-06-01 23:50,280.10568,279.2613,276.46362,272.4813
2022-06-02 00:00,279.1386,278.68344,276.38364,272.7968
2022-06-02 00:10,278.33426,277.67368,275.8893,272.36813
2022-06-02 00:20,278.21423,277.64493,275.59537,271.9584
2022-06-02 00:30,279.2981,277.63477,275.15497,270.713
2022-06-02 00:40,282.65884,277.51617,274.1696,269.11276
2022-06-02 00:50,285.08572,277.66965,273.984,266.86807
2022-06-02 01:00,287.11884,277.1473,274.1442,263.7266
2022-06-02 01:10,287.45404,277.96143,274.62186,262.08408
2022-06-02 01:20,287.31317,278.87363,275.27463,259.66217
2022-06-02 01:30,286.89645,278.5302,274.77628,259.18927
2022-06-02 01:40,286.0233,277.91635,274.26907,259.53705
2022-06-02 01:50,284.73676,277.827,274.0539,260.0711
2022-06-02 02:00,282.4865,276.2762,272.37683,260.74255
2022-06-02 02:10,280.71716,275.10602,271.44064,261.45514
2022-06-02 02:20,278.71976,274.1959,270.81863,263.05518
2022-06-02 02:30,276.71494,272.53735,269.34515,264.20023
2022-06-02 02:40,275.32422,273.1687,270.01462,264.01538
2022-06-02 02:50,274.96182,272.51633,269.44916,263.6874
2022-06-02 03:00,275.5194,272.10748,268.99463,262.51282
2022-06-02 03:10,275.75183,271.73654,268.42184,261.29022
2022-06-02 03:20,276.27155,271.83432,268.16757,261.07697
2022-06-02 03:30,277.1524,271.96967,268.11438,259.8909
2022-06-02 03:40,277.5647,271.9866,267.99292,259.09872
2022-06-02 03:50,278.5149,272.27606,268.33853,258.276
2022-06-02 04:00,278.86453,272.0617,267.9514,257.4122
2022-06-02 04:10,278.4277,272.21353,268.00064,256.7621
2022-06-02 04:20,277.31958,271.67142,267.72702,256.7076
2022-06-02 04:30,276.6594,271.44397,267.43222,256.8339
2022-06-02 04:40,276.03427,270.8035,266.9641,257.04727
2022-06-02 04:50,275.0446,269.84616,266.1576,257.1954
2022-06-02 05:00,273.99182,269.27484,265.68256,256.97754
2022-06-02 05:10,273.29172,269.16394,265.4729,257.7956
2022-06-02 05:20,272.3304,269.3214,265.50208,257.79373
2022-06-02 05:30,271.8123,269.14578,264.9325,257.7238
2022-06-02 05:40,271.8797,269.51654,264.86432,256.8303
2022-06-02 05:50,271.58902,269.72684,264.93204,256.58807
2022-06-02 06:00,271.07684,269.5928,264.60214,256.1846
2022-06-02 06:10,271.44266,269.42493,263.8965,256.255
2022-06-02 06:20,271.8896,269.481,263.16824,255.41116
2022-06-02 06:30,272.00836,269.7106,263.0412,254.5948
2022-06-02 06:40,272.14218,269.91037,263.22336,254.62093
2022-06-02 06:50,272.15268,269.83298,262.56143,252.99606
2022-06-02 07:00,271.8576,269.77017,262.29483,253.05603
2022-06-02 07:10,271.31696,269.83908,262.36124,252.93494
2022-06-02 07:20,270.68747,269.9385,262.17377,252.67035
2022-06-02 07:30,270.62668,269.77597,261.68222,252.77469
2022-06-02 07:40,270.46887,270.04242,261.4954,252.40619
2022-06-02 07:50,270.46362,269.73666,260.68143,252.97606
2022-06-02 08:00,270.21722,269.62415,260.15234,253.02089
2022-06-02 08:10,269.04575,269.5476,260.28903,254.733
2022-06-02 08:20,268.8735,269.45593,260.45352,254.5658
2022-06-02 08:30,273.62424,269.80582,260.5145,253.31665
2022-06-02 08:40,277.9446,269.9671,260.3451,261.0513
2022-06-02 08:50,278.59122,270.5787,262.01834,269.78552
2022-06-02 09:00,278.36996,271.81003,264.82025,275.98138
2022-06-02 09:10,278.1943,271.17072,271.274,282.52332
2022-06-02 09:20,278.78925,279.80154,282.55014,284.2893
2022-06-02 09:30,278.3472,287.575,290.64102,289.606
2022-06-02 09:40,284.77948,292.88693,297.19232,294.65247
2022-06-02 09:50,295.60278,297.93002,301.27383,301.61084
2022-06-02 10:00,309.7134,299.9144,306.09674,305.93228
2022-06-02 10:10,317.28336,308.92798,310.5092,306.0264
2022-06-02 10:20,319.745,318.90378,316.98053,305.81958
2022-06-02 10:30,326.35803,323.85025,322.6264,303.53726
2022-06-02 10:40,334.59116,328.0496,324.0775,300.73138
2022-06-02 10:50,340.49905,331.71628,326.01727,297.61884
2022-06-02 11:00,343.65826,334.81613,327.50253,294.34628
2022-06-02 11:10,346.15842,335.27353,327.0713,290.51492
