날짜,강수량(mm)
2012-05-01,
2012-05-02,0.4
2012-05-03,0.2
2012-05-04,
2012-05-05,
2012-05-06,
2012-05-07,
2012-05-08,
2012-05-09,
2012-05-10,
2012-05-11,
2012-05-12,
2012-05-13,
2012-05-14,6.5
2012-05-15,0
2012-05-16,0
2012-05-17,0.5
2012-05-18,
2012-05-19,
2012-05-20,
2012-05-21,
2012-05-22,
2012-05-23,
2012-05-24,
2012-05-25,
2012-05-26,
2012-05-27,0.3
2012-05-28,0.1
2012-05-29,
2012-05-30,0
2012-05-31,0.2
2012-06-01,
2012-06-02,
2012-06-03,
2012-06-04,
2012-06-05,0
2012-06-06,
2012-06-07,
2012-06-08,2
2012-06-09,
2012-06-10,
2012-06-11,
2012-06-12,0.4
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-16,
2012-06-17,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-22,0
2012-06-23,
2012-06-24,
2012-06-25,
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,20
2012-06-30,69.5
2012-07-01,0
2012-07-02,
2012-07-03,25
2012-07-04,0.3
2012-07-05,72
2012-07-06,102.5
2012-07-07,
2012-07-08,
2012-07-09,
2012-07-10,6.5
2012-07-11,8
2012-07-12,0
2012-07-13,76.5
2012-07-14,8
2012-07-15,32.5
2012-07-16,2.5
2012-07-17,0
2012-07-18,6
2012-07-19,72.5
2012-07-20,1
2012-07-21,
2012-07-22,16.5
2012-07-23,1
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-28,
2012-07-29,0
2012-07-30,18
2012-07-31,0.1
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-04,
2012-08-05,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,0.3
2012-08-11,
2012-08-12,17
2012-08-13,2
2012-08-14,15.5
2012-08-15,136.5
2012-08-16,
2012-08-17,0
2012-08-18,2
2012-08-19,5
2012-08-20,59.5
2012-08-21,137
2012-08-22,17
2012-08-23,0.1
2012-08-24,7.5
2012-08-25,11.5
2012-08-26,0
2012-08-27,
2012-08-28,13.5
2012-08-29,6
2012-08-30,34.5
2012-08-31,
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,55.5
2012-09-05,10.5
2012-09-06,
2012-09-07,3
2012-09-08,25
2012-09-09,
2012-09-10,
2012-09-11,
2012-09-12,0.5
2012-09-13,13.5
2012-09-14,2
2012-09-15,
2012-09-16,2.5
2012-09-17,85.5
2012-09-18,
2012-09-19,
2012-09-20,0
2012-09-21,
2012-09-22,
2012-09-23,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,13.5
2012-09-29,0.5
2012-09-30,
2012-10-01,
2012-10-02,
2012-10-03,
2012-10-04,
2012-10-05,
2012-10-06,
2012-10-07,
2012-10-08,
2012-10-09,
2012-10-10,13
2012-10-11,
2012-10-12,
2012-10-13,
2012-10-14,
2012-10-15,
2012-10-16,
2012-10-17,2.5
2012-10-18,
2012-10-19,
2012-10-20,
2012-10-21,
2012-10-22,39.5
2012-10-23,0
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-27,44
2012-10-28,0
2012-10-29,0
2012-10-30,0.1
2012-10-31,0.2
2013-05-01,1
2013-05-02,1
2013-05-03,0
2013-05-04,
2013-05-05,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,2.5
2013-05-10,22
2013-05-11,
2013-05-12,1
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-18,14.5
2013-05-19,19.5
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-25,
2013-05-26,
2013-05-27,56.5
2013-05-28,11.5
2013-05-29,2.5
2013-05-30,
2013-05-31,
2013-06-01,
2013-06-02,
2013-06-03,
2013-06-04,0.2
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-08,
2013-06-09,
2013-06-10,
2013-06-11,7
2013-06-12,6.5
2013-06-13,
2013-06-14,
2013-06-15,
2013-06-16,
2013-06-17,0.5
2013-06-18,12
2013-06-19,0.1
2013-06-20,
2013-06-21,
2013-06-22,
2013-06-23,0.3
2013-06-24,
2013-06-25,
2013-06-26,0
2013-06-27,
2013-06-28,1.5
2013-06-29,
2013-06-30,0.2
2013-07-01,
2013-07-02,51.5
2013-07-03,
2013-07-04,32.5
2013-07-05,1
2013-07-06,
2013-07-07,3
2013-07-08,68
2013-07-09,6.5
2013-07-10,1
2013-07-11,14
2013-07-12,74
2013-07-13,165
2013-07-14,23
2013-07-15,3.5
2013-07-16,1.5
2013-07-17,18.5
2013-07-18,26.5
2013-07-19,
2013-07-20,1
2013-07-21,0.5
2013-07-22,84.5
2013-07-23,56.5
2013-07-24,11.5
2013-07-25,0
2013-07-26,
2013-07-27,0.2
2013-07-28,11
2013-07-29,3.5
2013-07-30,9.5
2013-07-31,8.5
2013-08-01,
2013-08-02,7.5
2013-08-03,0.1
2013-08-04,4.5
2013-08-05,7
2013-08-06,45
2013-08-07,
2013-08-08,
2013-08-09,0
2013-08-10,2
2013-08-11,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,0
2013-08-16,4.5
2013-08-17,
2013-08-18,13
2013-08-19,6
2013-08-20,
2013-08-21,
2013-08-22,0
2013-08-23,35
2013-08-24,
2013-08-25,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,21.5
2013-08-30,
2013-08-31,2.5
2013-09-01,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,0
2013-09-06,0
2013-09-07,
2013-09-08,
2013-09-09,
2013-09-10,11.5
2013-09-11,36.5
2013-09-12,0.5
2013-09-13,50
2013-09-14,11.5
2013-09-15,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-21,
2013-09-22,0
2013-09-23,
2013-09-24,4.5
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-28,4
2013-09-29,19
2013-09-30,1
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-05,
2013-10-06,0
2013-10-07,
2013-10-08,3
2013-10-09,
2013-10-10,
2013-10-11,6.5
2013-10-12,
2013-10-13,
2013-10-14,
2013-10-15,3.5
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,
2013-10-28,
2013-10-29,0.5
2013-10-30,
2013-10-31,
2014-05-01,
2014-05-02,1
2014-05-03,
2014-05-04,0.2
2014-05-05,
2014-05-06,
2014-05-07,2
2014-05-08,4
2014-05-09,
2014-05-10,
2014-05-11,23
2014-05-12,10
2014-05-13,
2014-05-14,
2014-05-15,0.3
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-24,
2014-05-25,21
2014-05-26,1.5
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,2
2014-06-03,33
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-07,
2014-06-08,
2014-06-09,
2014-06-10,5.5
2014-06-11,19
2014-06-12,0.1
2014-06-13,0
2014-06-14,
2014-06-15,
2014-06-16,
2014-06-17,3.5
2014-06-18,0.1
