날짜,현재수위,유입량,방류량
2016-04-29 0:00,25.1,121,324
2016-04-29 0:10,25.104,323.77,323.77
2016-04-29 0:20,25.102,323.79,323.79
2016-04-29 0:30,25.099,323.87,323.87
2016-04-29 0:40,25.098,330.09,330.09
2016-04-29 0:50,25.095,222.23,323.93
2016-04-29 1:00,25.09,210,312
2016-04-29 1:10,25.086,330.33,330.33
2016-04-29 1:20,25.082,222.46,324.16
2016-04-29 1:30,25.082,222.47,324.17
2016-04-29 1:40,25.081,222.49,324.19
2016-04-29 1:50,25.079,222.83,324.23
2016-04-29 2:00,25.08,217,318
2016-04-29 2:10,25.078,324.25,324.25
2016-04-29 2:20,25.08,324.2,324.2
2016-04-29 2:30,25.077,330.49,330.49
2016-04-29 2:40,25.072,229.18,330.58
2016-04-29 2:50,25.072,222.95,324.35
2016-04-29 3:00,25.07,217,318
2016-04-29 3:10,25.071,330.6,330.6
2016-04-29 3:20,25.07,330.62,330.62
2016-04-29 3:30,25.067,324.44,324.44
2016-04-29 3:40,25.064,223.11,324.51
2016-04-29 3:50,25.061,223.16,324.56
2016-04-29 4:00,25.06,217,318
2016-04-29 4:10,25.062,324.53,324.53
2016-04-29 4:20,25.059,330.82,330.82
2016-04-29 4:30,25.059,324.59,324.59
2016-04-29 4:40,25.059,324.6,324.6
2016-04-29 4:50,25.058,324.61,324.61
2016-04-29 5:00,25.06,318,318
2016-04-29 5:10,25.056,324.65,324.65
2016-04-29 5:20,25.055,324.66,324.66
2016-04-29 5:30,25.054,223.28,324.68
2016-04-29 5:40,25.054,223.29,324.69
2016-04-29 5:50,25.05,229.59,330.99
2016-04-29 6:00,25.05,217,318
2016-04-29 6:10,25.048,331.03,331.03
2016-04-29 6:20,25.047,324.82,324.82
2016-04-29 6:30,25.046,331.06,331.06
2016-04-29 6:40,25.046,324.84,324.84
2016-04-29 6:50,25.044,223.76,324.86
2016-04-29 7:00,25.04,217,318
2016-04-29 7:10,25.044,324.87,324.87
2016-04-29 7:20,25.044,324.87,324.87
2016-04-29 7:30,25.044,324.88,324.88
2016-04-29 7:40,25.043,324.88,324.88
2016-04-29 7:50,25.043,324.88,324.88
2016-04-29 8:00,25.04,318,318
2016-04-29 8:10,25.043,324.89,324.89
2016-04-29 8:20,25.042,324.91,324.91
2016-04-29 8:30,25.039,324.95,324.95
2016-04-29 8:40,25.039,324.97,324.97
2016-04-29 8:50,25.034,223.95,325.05
2016-04-29 9:00,25.03,218,319
2016-04-29 9:10,25.034,331.28,331.28
2016-04-29 9:20,25.057,628.24,324.64
2016-04-29 9:30,25.076,830.08,324.28
2016-04-29 9:40,25.078,830.04,324.24
2016-04-29 9:50,25.08,830.01,324.21
2016-04-29 10:00,25.08,817,312
2016-04-29 10:10,25.085,425.81,324.11
2016-04-29 10:20,25.08,324.2,324.2
2016-04-29 10:30,25.078,324.26,324.26
2016-04-29 10:40,25.08,324.2,324.2
2016-04-29 10:50,25.071,222.97,324.37
2016-04-29 11:00,25.06,116,318
2016-04-29 11:10,25.051,223.34,324.74
2016-04-29 11:20,25.056,324.64,324.64
2016-04-29 11:30,25.06,324.58,324.58
2016-04-29 11:40,25.057,324.64,324.64
2016-04-29 11:50,25.066,425.87,324.47
2016-04-29 12:00,25.07,413,312
2016-04-29 12:10,25.074,233.31,233.31
2016-04-29 12:20,25.098,435.25,130.75
2016-04-29 12:30,25.102,434.92,130.72
2016-04-29 12:40,25.106,536.6,130.7
2016-04-29 12:50,25.112,536.25,130.65
2016-04-29 13:00,25.1,489,184
2016-04-29 13:10,25.089,46.18,351.28
2016-04-29 13:20,25.097,155.85,359.25
2016-04-29 13:30,25.095,155.89,359.29
2016-04-29 13:40,25.082,0,361.17
2016-04-29 13:50,25.079,0,354.99
2016-04-29 14:00,25.08,145,348
2016-04-29 14:10,25.072,259.99,361.39
2016-04-29 14:20,25.09,456.49,354.79
2016-04-29 14:30,25.115,658.48,354.28
2016-04-29 14:40,25.119,760.29,354.19
2016-04-29 14:50,25.124,759.68,354.08
2016-04-29 15:00,25.13,856,348
2016-04-29 15:10,25.132,353.94,353.94
2016-04-29 15:20,25.129,360.2,360.2
2016-04-29 15:30,25.134,353.9,353.9
2016-04-29 15:40,25.123,252.21,354.11
2016-04-29 15:50,25.118,252.31,354.21
2016-04-29 16:00,25.12,246,348
2016-04-29 16:10,25.116,354.25,354.25
2016-04-29 16:20,25.116,362.76,362.76
2016-04-29 16:30,25.123,362.61,362.61
2016-04-29 16:40,25.126,464.44,362.54
2016-04-29 16:50,25.126,458.18,356.28
2016-04-29 17:00,25.13,446,344
2016-04-29 17:10,25.127,356.26,356.26
2016-04-29 17:20,25.13,362.46,362.46
2016-04-29 17:30,25.134,362.39,362.39
2016-04-29 17:40,25.142,457.86,355.96
2016-04-29 17:50,25.147,559.97,355.87
2016-04-29 18:00,25.15,554,350
2016-04-29 18:10,25.151,355.79,355.79
2016-04-29 18:20,25.153,355.75,355.75
2016-04-29 18:30,25.153,355.74,355.74
2016-04-29 18:40,25.157,464.1,361.9
2016-04-29 18:50,25.161,457.79,355.59
2016-04-29 19:00,25.17,554,350
2016-04-29 19:10,25.163,253.03,355.53
2016-04-29 19:20,25.168,361.69,361.69
2016-04-29 19:30,25.173,361.59,361.59
2016-04-29 19:40,25.176,457.77,355.27
2016-04-29 19:50,25.179,457.71,355.21
2016-04-29 20:00,25.18,450,348
2016-04-29 20:10,25.185,457.6,355.1
2016-04-29 20:20,25.188,457.53,355.03
2016-04-29 20:30,25.195,329.91,227.41
2016-04-29 20:40,25.209,460.54,152.74
2016-04-29 20:50,25.215,459.4,151.9
2016-04-29 21:00,25.18,247,247
2016-04-29 21:10,25.22,254.96,151.86
2016-04-29 21:20,25.227,357.41,151.81
2016-04-29 21:30,25.218,253.67,150.57
2016-04-29 21:40,25.187,0,150.8
2016-04-29 21:50,25.185,0,150.81
2016-04-29 22:00,25.19,253,151
2016-04-29 22:10,25.189,150.24,150.24
2016-04-29 22:20,25.19,150.23,150.23
2016-04-29 22:30,25.19,150.23,150.23
2016-04-29 22:40,25.192,150.22,150.22
2016-04-29 22:50,25.203,252.64,150.14
2016-04-29 23:00,25.22,458,150
2016-04-29 23:10,25.222,150.01,150.01
2016-04-29 23:20,25.228,252.78,149.98
2016-04-29 23:30,25.23,252.77,149.97
2016-04-29 23:40,25.236,356.33,149.93
2016-04-29 23:50,25.236,356.32,149.92
2016-04-30 0:00,25.22,458,150
2016-04-30 0:10,25.225,23.19,125.99
2016-04-30 0:20,25.223,23.21,126.01
2016-04-30 0:30,25.221,23.21,126.01
2016-04-30 0:40,25.219,23.22,126.02
2016-04-30 0:50,25.219,23.22,126.02
2016-04-30 1:00,25.22,17,120
2016-04-30 1:10,25.221,126.01,126.01
2016-04-30 1:20,25.23,228.77,125.97
2016-04-30 1:30,25.237,332.33,125.93
2016-04-30 1:40,25.244,332.09,125.89
2016-04-30 1:50,25.251,435.16,125.86
2016-04-30 2:00,25.24,332,126
2016-04-30 2:10,25.258,125.82,125.82
2016-04-30 2:20,25.262,125.8,125.8
2016-04-30 2:30,25.261,125.8,125.8
2016-04-30 2:40,25.259,125.82,125.82
2016-04-30 2:50,25.259,125.81,125.81
2016-04-30 3:00,25.26,326,120
2016-04-30 3:10,25.259,125.82,125.82
2016-04-30 3:20,25.258,125.82,125.82
2016-04-30 3:30,25.26,125.81,125.81
2016-04-30 3:40,25.262,125.8,125.8
2016-04-30 3:50,25.268,229.07,125.77
2016-04-30 4:00,25.28,327,120
