ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,279.44876,276.80942,274.67114,269.06647
2022-06-01 00:10,281.57523,276.64807,273.45074,267.3013
2022-06-01 00:20,283.48062,276.93167,273.04303,264.46356
2022-06-01 00:30,285.90494,277.5349,273.38132,261.82635
2022-06-01 00:40,286.83914,277.85806,273.73245,259.13718
2022-06-01 00:50,285.85867,277.8994,273.8496,257.7999
2022-06-01 01:00,284.7037,277.89914,273.52014,257.30182
2022-06-01 01:10,283.86975,277.6836,273.0502,257.69623
2022-06-01 01:20,282.14398,277.25726,272.71448,258.39624
2022-06-01 01:30,280.31393,276.4865,271.74344,259.8577
2022-06-01 01:40,279.02188,275.35077,270.78772,259.86383
2022-06-01 01:50,277.1971,274.26407,269.78943,261.00885
2022-06-01 02:00,275.1164,273.89127,269.76755,262.05978
2022-06-01 02:10,274.34808,273.38144,269.29257,261.7882
2022-06-01 02:20,274.42798,272.917,269.27084,261.45078
2022-06-01 02:30,275.3061,272.44653,268.45816,261.05075
2022-06-01 02:40,275.81573,272.53867,268.23633,261.1065
2022-06-01 02:50,275.97144,272.71722,268.48248,260.0883
2022-06-01 03:00,276.5256,272.65292,268.436,259.1719
2022-06-01 03:10,277.3071,272.16544,267.8604,258.11328
2022-06-01 03:20,277.5739,271.9269,267.45892,257.3025
2022-06-01 03:30,277.70813,271.7482,267.50632,255.54732
2022-06-01 03:40,276.8986,272.04517,267.83817,254.52051
2022-06-01 03:50,276.339,271.9643,267.70517,253.78838
2022-06-01 04:00,275.63513,272.01825,267.56107,254.03476
2022-06-01 04:10,274.58124,271.77643,267.257,254.25427
2022-06-01 04:20,273.84372,271.0685,266.40927,254.4643
2022-06-01 04:30,273.097,269.96564,265.3141,255.27841
2022-06-01 04:40,272.70364,269.9342,265.32272,256.001
2022-06-01 04:50,272.2119,270.08978,265.5055,256.70502
2022-06-01 05:00,271.7502,270.26675,265.968,256.80453
2022-06-01 05:10,271.55585,270.03726,265.54013,255.64648
2022-06-01 05:20,271.53497,270.0022,265.03036,255.261
2022-06-01 05:30,271.31143,270.0162,264.6643,255.77826
2022-06-01 05:40,271.10925,269.939,263.7244,255.25723
2022-06-01 05:50,270.91315,269.64313,263.1446,254.94069
2022-06-01 06:00,271.3845,269.30457,262.58145,254.58287
2022-06-01 06:10,271.27554,269.4357,262.33588,254.44102
2022-06-01 06:20,270.56213,269.78174,262.39575,253.82483
2022-06-01 06:30,271.46375,269.59595,262.06192,253.30196
2022-06-01 06:40,272.56613,269.95627,261.90466,252.48293
2022-06-01 06:50,273.17014,270.33273,262.13943,252.55066
2022-06-01 07:00,273.85986,270.35928,262.47342,252.44078
2022-06-01 07:10,274.3265,270.24756,262.62396,252.51352
2022-06-01 07:20,275.27762,269.9864,263.1968,252.7255
2022-06-01 07:30,275.0003,270.0465,263.96835,253.73024
2022-06-01 07:40,274.62158,270.21463,264.59186,258.0438
2022-06-01 07:50,274.25046,270.0739,264.4292,262.93964
2022-06-01 08:00,273.81442,270.36926,264.54718,267.06924
2022-06-01 08:10,276.42996,269.9215,265.02365,276.17422
2022-06-01 08:20,276.61783,270.23895,265.44553,285.00586
2022-06-01 08:30,278.02612,270.61743,270.33508,291.77307
2022-06-01 08:40,276.42105,277.2635,282.9929,296.14316
2022-06-01 08:50,275.24118,288.36017,292.69205,300.7844
