,equipment_id,timestamp,status,current_wip,processing_lot,recent_avg_proc_time_min,equipment_type,min_required_wip,lot_id,equipment_candidate,priority,is_hot,current_process,assignment_reason
0,E100,2025-06-03 0:00,Busy,5,,20,Etching,3,,,,,,
1,E100,2025-06-03 0:05,PM,2,,25,Etching,3,,,,,,
2,E100,2025-06-03 0:10,PM,1,,30,Etching,3,,,,,,
3,E100,2025-06-03 0:15,Busy,3,,30,Etching,3,,,,,,
4,E100,2025-06-03 0:20,Busy,7,,30,Etching,3,,,,,,
5,E100,2025-06-03 0:25,PM,7,,25,Etching,3,,,,,,
6,E100,2025-06-03 0:30,PM,7,,20,Etching,3,,,,,,
7,E100,2025-06-03 0:35,PM,7,,25,Etching,3,,,,,,
8,E100,2025-06-03 0:40,Busy,3,,25,Etching,3,,,,,,
9,E100,2025-06-03 0:45,Available,6,L007,20,Etching,3,L007,"E113,E110",3,TRUE,Deposition,HOT
10,E100,2025-06-03 0:50,PM,1,,20,Etching,3,,,,,,
11,E100,2025-06-03 0:55,Busy,7,,25,Etching,3,,,,,,
12,E100,2025-06-03 1:00,PM,9,,30,Etching,3,,,,,,
13,E100,2025-06-03 1:05,PM,0,,25,Etching,3,,,,,,
14,E100,2025-06-03 1:10,PM,5,,30,Etching,3,,,,,,
15,E100,2025-06-03 1:15,Busy,1,,20,Etching,3,,,,,,
16,E100,2025-06-03 1:20,Down,8,,30,Etching,3,,,,,,
17,E100,2025-06-03 1:25,Down,8,,30,Etching,3,,,,,,
18,E100,2025-06-03 1:30,PM,2,,30,Etching,3,,,,,,
19,E100,2025-06-03 1:35,Busy,9,,25,Etching,3,,,,,,
20,E100,2025-06-03 1:40,Busy,3,,30,Etching,3,,,,,,
21,E100,2025-06-03 1:45,Busy,5,,25,Etching,3,,,,,,
22,E100,2025-06-03 1:50,Busy,7,,20,Etching,3,,,,,,
23,E100,2025-06-03 1:55,Down,4,,25,Etching,3,,,,,,
24,E100,2025-06-03 2:00,Available,3,L001,20,Etching,3,L001,E114,4,FALSE,Inspection,HOT
25,E100,2025-06-03 2:05,Busy,8,,30,Etching,3,,,,,,
26,E100,2025-06-03 2:10,Busy,8,,20,Etching,3,,,,,,
27,E100,2025-06-03 2:15,Busy,7,,30,Etching,3,,,,,,
28,E100,2025-06-03 2:20,Available,6,L001,30,Etching,3,L001,E114,4,FALSE,Inspection,WIP
29,E100,2025-06-03 2:25,Busy,9,,30,Etching,3,,,,,,
30,E100,2025-06-03 2:30,Available,2,L007,20,Etching,3,L007,"E113,E110",3,TRUE,Deposition,HOT
31,E100,2025-06-03 2:35,Busy,9,,20,Etching,3,,,,,,
32,E100,2025-06-03 2:40,Busy,5,,30,Etching,3,,,,,,
33,E100,2025-06-03 2:45,Down,3,,20,Etching,3,,,,,,
34,E100,2025-06-03 2:50,Available,3,L024,25,Etching,3,L024,"E114,E108,E110",4,FALSE,Deposition,RECEIPT
35,E100,2025-06-03 2:55,Available,0,L013,20,Etching,3,L013,"E109,E114,E108",5,TRUE,Inspection,HOT
36,E100,2025-06-03 3:00,Busy,4,,20,Etching,3,,,,,,
37,E100,2025-06-03 3:05,Down,3,,30,Etching,3,,,,,,
38,E100,2025-06-03 3:10,Available,8,L022,30,Etching,3,L022,"E100,E106,E107",1,TRUE,IonImplantation,HOT
39,E100,2025-06-03 3:15,PM,9,,20,Etching,3,,,,,,
40,E100,2025-06-03 3:20,PM,9,,20,Etching,3,,,,,,
41,E100,2025-06-03 3:25,Down,7,,20,Etching,3,,,,,,
42,E100,2025-06-03 3:30,PM,5,,30,Etching,3,,,,,,
43,E100,2025-06-03 3:35,Busy,9,,20,Etching,3,,,,,,
44,E100,2025-06-03 3:40,Down,7,,30,Etching,3,,,,,,
45,E100,2025-06-03 3:45,PM,7,,25,Etching,3,,,,,,
46,E100,2025-06-03 3:50,Down,4,,25,Etching,3,,,,,,
47,E100,2025-06-03 3:55,Down,3,,25,Etching,3,,,,,,
48,E100,2025-06-03 4:00,Available,2,L011,25,Etching,3,L011,E113,4,FALSE,Inspection,HOT
49,E100,2025-06-03 4:05,Available,9,L002,25,Etching,3,L002,E105,3,FALSE,Etching,RECEIPT
50,E100,2025-06-03 4:10,Busy,6,,25,Etching,3,,,,,,
51,E100,2025-06-03 4:15,Down,3,,20,Etching,3,,,,,,
52,E100,2025-06-03 4:20,Down,5,,20,Etching,3,,,,,,
53,E100,2025-06-03 4:25,Available,8,L027,30,Etching,3,L027,E106,2,FALSE,Photolithography,RECEIPT
54,E100,2025-06-03 4:30,Down,1,,20,Etching,3,,,,,,
55,E100,2025-06-03 4:35,PM,7,,20,Etching,3,,,,,,
56,E100,2025-06-03 4:40,Available,3,L018,30,Etching,3,L018,E111,4,FALSE,Packaging,RECEIPT
57,E100,2025-06-03 4:45,Down,4,,20,Etching,3,,,,,,
58,E100,2025-06-03 4:50,Down,9,,30,Etching,3,,,,,,
59,E100,2025-06-03 4:55,Available,6,L029,30,Etching,3,L029,"E114,E113",1,FALSE,Inspection,HOT
60,E100,2025-06-03 5:00,Down,4,,20,Etching,3,,,,,,
61,E100,2025-06-03 5:05,Down,8,,20,Etching,3,,,,,,
62,E100,2025-06-03 5:10,PM,5,,30,Etching,3,,,,,,
63,E100,2025-06-03 5:15,PM,6,,30,Etching,3,,,,,,
64,E100,2025-06-03 5:20,Available,6,L014,25,Etching,3,L014,"E104,E112,E111",1,FALSE,Inspection,REASSIGN
65,E100,2025-06-03 5:25,Down,7,,20,Etching,3,,,,,,
66,E100,2025-06-03 5:30,PM,9,,20,Etching,3,,,,,,
67,E100,2025-06-03 5:35,Down,8,,20,Etching,3,,,,,,
68,E100,2025-06-03 5:40,Available,7,L013,25,Etching,3,L013,"E109,E114,E108",5,TRUE,Inspection,HOT
69,E100,2025-06-03 5:45,Available,9,L017,20,Etching,3,L017,"E102,E100",4,TRUE,Packaging,RECEIPT
70,E100,2025-06-03 5:50,Busy,7,,30,Etching,3,,,,,,
